id,id_fbref,id_understat,id_transfermarkt,id_capology
de13b0ff-7292-466f-b48f-e5e6e4956c45,27c01749,7991,434207,aaron-connolly-36553
0e26064b-8471-465a-947e-c6a55e5fd277,4f974391,534,92571,aaron-cresswell-32857
78b110b6-0723-4485-94fc-9366f8958184,67669ce7,2346,284430,nan
0cddab1f-fe72-490b-aa06-36fb6edc20a6,1780bb4a,8942,591949,aaron-hickey-37417
4622a5c9-112f-4a89-a247-d27bf6fe0c92,2ff964a0,593,14221,nan
c3ee66ef-6503-4c63-881e-0fd4abab9eea,2f3e911a,5133,251878,aaron-martin-35542
571df93d-754b-426f-bb6e-ef027e7c82d7,466fb2c5,5603,427568,aaron-ramsdale-35929
70156819-acb9-457c-88f4-5b2cdf3c49e6,ef619b0b,504,50057,aaron-ramsey-33233
120c2d12-d768-4237-845d-18b0eb7b90f0,9e525177,5584,477758,aaron-wan-bissaka-35760
6cff78c3-99f6-43bd-b00e-1a5b86708682,4937a9f7,9637,596901,nan
3ed41d1d-c930-46a5-bff5-f7582e0c15b0,4830e0af,6296,340394,abdelhamid-sabiri-35397
3b695a7e-b935-47a3-a1df-471f08c5e0e2,bed68338,10095,724520,ez-abde-37242
cf9e2ff6-52a9-46c8-a1af-72ef35659a25,d1b060e2,8014,177452,abdon-prats-33945
ff6e9c52-356a-4a7c-842c-617d826c5e53,fc62f087,4804,229005,abdou-diallo-35189
fe771107-4d32-4098-a4da-a6e0ed2931a4,65fd099c,9996,416386,abdou-harroui-35808
6193d898-6163-4cee-a92c-71fb769b0390,ee95585f,9295,855615,nan
5e2ea65d-d4ff-4da0-a5c1-35554fb0f1f5,7fecbcdb,5732,62351,abdoulaye-bamba-32988
6a404dbb-ba88-4035-bbd3-184a0e3dade8,02b29014,1726,127187,abdoulaye-doucoure-33970
5cc2a355-6d33-463b-bd75-9d95b72af27d,2aeb43f1,9355,807648,abdoulaye-sylla-36626
ec208d95-e0ce-43b8-945d-43136a139e87,ef7cd87a,3674,181382,nan
a54f5c52-cbeb-41fa-9a27-4b69cfff2e00,8df328f4,9720,536472,nan
c7b5b99c-53e1-4cba-bf04-a1a846789c03,cfa49cc1,10307,337798,abdu-conte-35878
ac3da5f5-d7f0-4f5e-9010-bda597599240,46907171,3461,146805,majeed-waris-33500
318ad5c3-f328-478e-9fcc-1a2de3fc287c,ae5b93a0,10151,503518,nan
68c95697-baab-4f48-ac64-8dbca45cf1f9,e42d61c7,5197,398073,achraf-hakimi-36103
e59271ff-98eb-41a3-9e3f-1a28be8c2c42,68c720b5,4419,250426,adam-armstrong-35471
b5fb1a00-4cab-4bac-80a8-718eda2badb0,9f1938ab,1711,121257,adam-forshaw-33519
9664b229-7a15-4c04-9224-56163b9be022,291e3ec3,8021,434223,nan
9f2dac36-20c7-420c-a89f-e97c732df3c4,99813635,486,43530,adam-lallana-32273
a7bc5fb6-765c-49df-9789-e627b09a8a8c,d4535821,6176,239802,adam-marusic-33894
a8fd7af2-9e6c-457b-8581-a2e0a5513fe0,de0f152c,1441,286949,nan
f56ec8af-34bf-499c-a0cb-63a78a390c56,aa25ce92,10073,568333,nan
10c6c214-6b61-4b4c-9999-107a63d8d69f,ed90babd,3259,400485,adam-ounas-35380
086b0f2e-da7c-4234-8659-35c694080422,53e07d0b,360,39106,adam-hlozek-37462
69330ce4-95a9-4ea4-be7a-5dd8734be7d7,c40b6180,7699,212847,adam-webster-34703
ba01f2e1-33d2-46a5-a607-1e5d8db95b5d,7b075c75,3356,126673,adama-soumaoro-33773
9fb789e2-2277-43b6-8e2f-58058e0c3a3c,9a28eba4,900,204103,adama-traore-35089
da470272-7076-4f56-907a-679f5b04efcc,7c104bb7,5556,406040,ademola-lookman-35723
66573264-11d2-4154-8e28-f7c6029a46f5,b94b8be1,7980,569385,nan
